Rate Plan Name,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),Offer Start Date,Offer End Date,,,,,,,,,,,,,,,,Description
Big Gig Unlimited + Talk 15GB,iPhone XR 64GB White,190198776433,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone XR 64GB (PRODUCT)RED,190198776457,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone XR 64GB Yellow,190198776471,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone XR 64GB Coral,190198776495,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone XR 64GB Blue,190198776518,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - iPhone XR 64GB Black,629258107219,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - iPhone XR 64GB White,629258107226,,,,,,,,,,,,,,,,,,799,799,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10e 128GB Black,887276301280,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 15GB,Galaxy S10e 128GB White,887276313887,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 15GB,Galaxy S10e 128GB Blue,887276323121,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
