Tab Rate Plan Group,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),,,,,,,,,,,,,,,,,,Device Description
Group 3,Samsung Galaxy S5 (White) EOL,62925800103198,,,,,,,,,,,,,,,,,,199,199,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy S5 (White) EOL,62925800103198,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy S5 (White) EOL,62925800103198,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy S5 (White) EOL,62925800103198,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Galaxy Note 4 Black EOL,62925800103853,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Galaxy Note 4 Black EOL,62925800103853,,,,,,,,,,,,,,,,,,250,299,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy Note 4 Black EOL,62925800103853,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy Note 4 Black EOL,62925800103853,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy Note 4 Black EOL,62925800103853,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Galaxy Note 4 White EOL,62925800103969,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Galaxy Note 4 White EOL,62925800103969,,,,,,,,,,,,,,,,,,250,299,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy Note 4 White EOL,62925800103969,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy Note 4 White EOL,62925800103969,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy Note 4 White EOL,62925800103969,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 2,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 3,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 6,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 7,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 8,Samsung S6 Edge Black 32 GB LL-Sale,62925800104218,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 2,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 3,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 6,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 7,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 8,Samsung S6 Edge White 32 GB LL-Sale,62925800104324,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 6,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 7,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 8,Samsung Galaxy S6 B,62925800104782,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 6,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 7,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 8,Samsung Galaxy S6 White (32 GB) EOL,62925800104898,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,100,449,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 6,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 7,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 8,Samsung Galaxy S6 G,62925800107233,,,,,,,,,,,,,,,,,,0,449,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 2,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,100,399,,,,,,,,,,,,,,,,,,,
Group 3,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,100,399,,,,,,,,,,,,,,,,,,,
Group 4,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,100,399,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 5,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 6,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 7,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 8,Samsung S6 Gold 32 GB LL-Sale,62925800107264,,,,,,,,,,,,,,,,,,0,399,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Grand Prime,62925800107547,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Grand Prime,62925800107547,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Grand Prime,62925800107547,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Grand Prime,62925800107547,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Grand Prime,62925800107547,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Note 5 Black 32GB EOL,62925800107868,,,,,,,,,,,,,,,,,,100,499,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Note 5 Black 32GB EOL,62925800107868,,,,,,,,,,,,,,,,,,250,499,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Note 5 Black 32GB EOL,62925800107868,,,,,,,,,,,,,,,,,,0,499,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Note 5 Black 32GB EOL,62925800107868,,,,,,,,,,,,,,,,,,0,499,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Note 5 Black 32GB EOL,62925800107868,,,,,,,,,,,,,,,,,,0,499,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 2,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,100,349,,,,,,,,,,,,,,,,,,,
Group 3,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,100,349,,,,,,,,,,,,,,,,,,,
Group 4,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,100,349,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 5,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 6,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 7,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 8,Samsung Note 5 Black 32GB LL - Sale,62925800107905,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 1_1,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,100,599,,,,,,,,,,,,,,,,,,,
Group 3,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,100,599,,,,,,,,,,,,,,,,,,,
Group 4,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,100,599,,,,,,,,,,,,,,,,,,,
Group 4a,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,599,,,,,,,,,,,,,,,,,,,
Group 5a,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,599,,,,,,,,,,,,,,,,,,,
Group 6,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,599,,,,,,,,,,,,,,,,,,,
Group 7,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,599,,,,,,,,,,,,,,,,,,,
Group 8,Samsung S7 Silver  LL - Sale,62925800108421,,,,,,,,,,,,,,,,,,0,599,,,,,,,,,,,,,,,,,,,
Group 1_1,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 2,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 3,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 4,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 4a,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5a,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 6,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 7,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 8,HTC One M9 EOL,62925800201399,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 2,HTC Desire 530 White,62925800201641,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,HTC Desire 530 White,62925800201641,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,HTC Desire 530 White,62925800201641,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,HTC Desire 530 White,62925800201641,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,HTC Desire 530 White,62925800201641,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 1_1,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 2,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,100,149,,,,,,,,,,,,,,,,,,,
Group 3,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,100,149,,,,,,,,,,,,,,,,,,,
Group 4,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,100,149,,,,,,,,,,,,,,,,,,,
Group 4a,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 5,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 5a,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 6,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 7,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 8,Blackberry Classic EOL,62925800303284,,,,,,,,,,,,,,,,,,0,149,,,,,,,,,,,,,,,,,,,
Group 1_1,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 2,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,100,199,,,,,,,,,,,,,,,,,,,
Group 3,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,100,199,,,,,,,,,,,,,,,,,,,
Group 4,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,100,199,,,,,,,,,,,,,,,,,,,
Group 4a,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 5,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 5a,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 6,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 7,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 8,Blackberry Leap EOL,62925800303291,,,,,,,,,,,,,,,,,,0,199,,,,,,,,,,,,,,,,,,,
Group 1_1,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,100,549,,,,,,,,,,,,,,,,,,,
Group 3,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,100,549,,,,,,,,,,,,,,,,,,,
Group 4,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,100,549,,,,,,,,,,,,,,,,,,,
Group 4a,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,549,,,,,,,,,,,,,,,,,,,
Group 5a,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,549,,,,,,,,,,,,,,,,,,,
Group 6,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,549,,,,,,,,,,,,,,,,,,,
Group 7,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,549,,,,,,,,,,,,,,,,,,,
Group 8,Blackberry Priv LL-Sale,62925800303468,,,,,,,,,,,,,,,,,,0,549,,,,,,,,,,,,,,,,,,,
Group 1_1,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 2,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 3,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 4,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,100,299,,,,,,,,,,,,,,,,,,,
Group 4a,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 5a,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 6,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 7,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 8,Blackberry DTEK50,62925800303536,,,,,,,,,,,,,,,,,,0,299,,,,,,,,,,,,,,,,,,,
Group 2,Huawei Ascend G7,62925800404172,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,Huawei Ascend G7,62925800404172,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,Huawei Ascend G7,62925800404172,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,Huawei Ascend G7,62925800404172,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,Huawei Ascend G7,62925800404172,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 2,Huawei Y635,62925800404288,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,Huawei Y635,62925800404288,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,Huawei Y635,62925800404288,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,Huawei Y635,62925800404288,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,Huawei Y635,62925800404288,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 2,Nexus 6P Gold,62925800404493,,,,,,,,,,,,,,,,,,100,349,,,,,,,,,,,,,,,,,,,
Group 3,Nexus 6P Gold,62925800404493,,,,,,,,,,,,,,,,,,250,349,,,,,,,,,,,,,,,,,,,
Group 4,Nexus 6P Gold,62925800404493,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 5,Nexus 6P Gold,62925800404493,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 5a,Nexus 6P Gold,62925800404493,,,,,,,,,,,,,,,,,,0,349,,,,,,,,,,,,,,,,,,,
Group 2,Huawei GR5W Black,62925800404660,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,Huawei GR5W Black,62925800404660,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,Huawei GR5W Black,62925800404660,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,Huawei GR5W Black,62925800404660,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,Huawei GR5W Black,62925800404660,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 2,ZTE Z828 Black,62925800600116,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 3,ZTE Z828 Black,62925800600116,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,
Group 4,ZTE Z828 Black,62925800600116,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5,ZTE Z828 Black,62925800600116,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 5a,ZTE Z828 Black,62925800600116,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,
Group 1_1,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,0,170,,,,,,,,,,,,,,,,,,,
Group 2,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,100,170,,,,,,,,,,,,,,,,,,,
Group 3,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,100,170,,,,,,,,,,,,,,,,,,,
Group 4,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,100,170,,,,,,,,,,,,,,,,,,,
Group 4a,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,0,170,,,,,,,,,,,,,,,,,,,
Group 5,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,50,170,,,,,,,,,,,,,,,,,,,
Group 5a,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,50,170,,,,,,,,,,,,,,,,,,,
Group 6,ZTE Grand X 4,62925800600215,,,,,,,,,,,,,,,,,,50,170,,,,,,,,,,,,,,,,,,,
