Tab Rate Plan Group,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),,,,,,,,,,,,,,,,,,Device Description
Group 2,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,100,1060,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,0,1080,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 512GB Silver,190198790682,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,100,1060,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,0,1080,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 512GB Gold,190198790729,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,100,1060,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,769,1729,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,1009,1729,,,,,,,,,,,,,,,,,,,
