GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,11,,,,,,,,,,,,,,,,WIND 30,1000282,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,12,,,,,,,,,,,,,,,,WIND 40 2013,1000283,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,13,,,,,,,,,,,,,,,,WIND 33,1000289,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,14,,,,,,,,,,,,,,,,WIND 50,1000291,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,15,,,,,,,,,,,,,,,,WIND 39 2013,1000293,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,16,,,,,,,,,,,,,,,,WIND 25,1000298,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,17,,,,,,,,,,,,,,,,WIND 35,1000299,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,18,,,,,,,,,,,,,,,,WIND 40,1000300,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,19,,,,,,,,,,,,,,,,WIND 60,1000301,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,20,,,,,,,,,,,,,,,,WIND 35 with VM+,1000302,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,21,,,,,,,,,,,,,,,,WIND 39,1000303,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,22,,,,,,,,,,,,,,,,WIND 35 (PB BTS 2014),1000311,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,23,,,,,,,,,,,,,,,,WIND 35 (PA BTS 2014),1000312,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,24,,,,,,,,,,,,,,,,Cross Canada Plan 10,1000316,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,25,,,,,,,,,,,,,,,,Talk and Text 25,1000329,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,26,,,,,,,,,,,,,,,,Smartphone 35,1000330,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,27,,,,,,,,,,,,,,,,Smartphone 40,1000331,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,28,,,,,,,,,,,,,,,,Smartphone 45,1000332,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,29,,,,,,,,,,,,,,,,Smartphone 50,1000333,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,30,,,,,,,,,,,,,,,,Cross-Canada 49,1000334,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_PAActive&,N/A,Rec,31,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_INStatus&,INStatus,Rec,32,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_Channel&,Channel,Init,33,,,,,,,,,,,,,,,,CAP,,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_Channel&,Channel,Init,34,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,565,,,,,,,,,,,,,,,,Unlimited Holiday 45,1000343,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,567,,,,,,,,,,,,,,,,Unlimited Holiday 45,1000343,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,571,,,,,,,,,,,,,,,,Unlimited Holiday 55,1000344,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,573,,,,,,,,,,,,,,,,Unlimited Holiday 55,1000344,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,577,,,,,,,,,,,,,,,,Smartphone 50,1000345,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,579,,,,,,,,,,,,,,,,Smartphone 50,1000345,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,641,,,,,,,,,,,,,,,,Smartphone 40 Bonus 2GB,1000349,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,643,,,,,,,,,,,,,,,,Smartphone 40 Bonus 2GB,1000349,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,883,,,,,,,,,,,,,,,,Everywhere 45,1000350,,,,,,,,,,,,,,,,,,,
